s_id,s_sex,s_year_birth,stimulus_id,stimulus_rus,stimulus_transl,target_rus,target_eng,resp_zilo,resp_zilo_latin,tense_expected,resp_tense,stem_type,tense_match,number_match,prog_type,count,agreement
1,m,1972,5,Девочки засмеялись над шуткой.,The girls laughed about the joke,смеяться,laugh,йелълъи,jeɬːi,AOR,AOR,oral,yes,,,0,
1,m,1972,11,Фокусник махнул рукой и стулья исчезли.,The illusionist weaved his hand and the chairs disappeared,исчезнуть,disappear,бит1у,bit'u,AOR,AOR,oral,yes,no,,0,
1,m,1972,18,Наши ребята выиграли.,Our guys won,выиграть,win,вашай,waʃaj,AOR,PF,oral,no,,,0,
1,m,1972,20,"Фокусник махнул рукой, и все телевизоры сломались. ",The magician waved his hand and all TVs got broken,сломаться,break,бич1он,bitʃ'on,AOR,AOR,nasal,yes,no,,0,
1,m,1972,12,Мальчики будут надо мной смеяться,Boys will laugh at me,смеяться,laugh,велълъия,weɬːija,FUT,FUT,oral,yes,,,0,
1,m,1972,22,"Нитки, которые ты купил, скоро порвутся",The threads you bought will get torn soon,порваться,tear,,,FUT,,,no,,,0,
1,m,1972,24,Эти телефоны через год сломаются,These phones will break in a year,сломаться,break,роч1ия,rotʃ'ija,FUT,FUT,oral,yes,,,0,
1,m,1972,23,"Что бы мы ни делали, они над нами смеются.","Whatever we do, they laugh at us",смеяться,laugh,велълъирадол,weɬːiradol,PROG,PROG,oral,yes,,rado,0,
1,m,1972,28,Телевизоры быстро ломаются один за другим.,Tv sets get broken one after another,сломаться,break,"бокъимадо, боч1орадо","boq'imado, botʃ'orado",PROG,PROG,oral,yes,,rado,0,
1,m,1972,30,Наши сейчас выигрывают.,Our guys are winning now,выиграть,win,вашиял; вагъинния,waʃijal; waʁinnija,PROG,FUT,oral,no,,,0,
1,m,1972,1,Родители полетели в Москву,The parents flew to Moscow,лететь,fly,бури,buri,AOR,AOR,oral,yes,,,1,0
1,m,1972,3,Мальчики бежали два часа,The boys ran for two hours,бежать,run,гьелли,helli,AOR,AOR,oral,yes,,,1,0
1,m,1972,9,Гнилые нитки порвались.,The rotten threads got torn,порваться,tear,танни,tanni,AOR,AOR,oral,yes,,,1,0
1,m,1972,14,"Фокусник махнул рукой, и гвозди погнулись.",The magician waved his hand and the nails bent,гнуться,bend,бот1у,bot'u,AOR,AOR,oral,yes,,,1,0
1,m,1972,16,Шахматные фигуры упали со стола. ,The chess figures fell down from the table,упасть,fall,букку,bukːu,AOR,AOR,oral,yes,,,1,0
1,m,1972,26,Мужчины помолились.,The men prayed,молиться,pray,куболийди,kubolijdi,AOR,AOR,oral,yes,,,1,0
1,m,1972,2,"Не качай стол, шахматы упадут.","Don't move the table, the chess figures will fall down ",упасть,fall,буккуя,bukːuja,FUT,FUT,oral,yes,,,1,0
1,m,1972,6,эти мальчики точно выиграют. ,These boys will surely win,выиграть,win,вашиял,waʃijal,FUT,FUT,oral,yes,,,1,1
1,m,1972,8,старики будут молиться.,,молиться,pray,куболийдия,kubolijdija,FUT,FUT,oral,yes,,,1,0
