bare,translations_en
весь,village
человек,man
время,time
рука,hand
дело,affair
раз,time
глаз,eye
день,day
жизнь,life
тут,here
голова,head
друг,friend
дом,house
место,place
лицо,face
сторона,side
нога,foot
работа,work
перёд,before
дверь,door
конец,end
город,town
голос,voice
час,hour
уж,really
земля,earth
сила,strength
вода,water
случай,case
стол,table
машина,machine
мир,world
ночь,night
женщина,woman
ребёнок,child
вид,appearance
отец,father
вопрос,question
ряд,row
страна,country
война,war
минута,minute
товарищ,comrade
правда,truth
часть,part
дорога,road
свет,light
жена,wife
окно,window
мать,mother
Москва,Moscow
улица,street
комната,room
утро,morning
вечер,evening
сегодня,today
душа,soul
книга,book
плечо,shoulder
пол,floor
народ,people
взгляд,look
история,history
бог,God
палец,finger
имя,name
мысль,thought
разговор,talk
право,right
лес,wood
сын,son
путь,way
тысяча,a thousand
пора,pore
стена,wall
спина,back
месяц,month
тело,body
язык,tongue
мама,mummy
старик,old man
смерть,death
власть,power
мальчик,boy
образ,shape
письмо,letter
отношение,attitude
сердце,heart
начальник,head
девушка,girl
солдат,soldier
небо,sky
система,system
воздух,air
брат,brother
квартира,flat
генерал,general
кровь,blood
шаг,step
хозяин,master
внимание,attention
школа,school
труд,labour
капитан,captain
парень,boy
группа,group
солнце,sun
любовь,love
ухо,ear
неделя,week
ответ,answer
берег,bank
помощь,help
мужчина,man
момент,moment
газета,newspaper
чувство,sense
порядок,order
семья,family
армия,army
возможность,possibility
движение,motion
муж,husband
нос,nose
огонь,fire
двор,court
угол,corner
смысл,sense
общество,society
дерево,tree
губа,lip
дядя,uncle
очередь,turn
форма,form
закон,law
собака,dog
состояние,state
сон,sleep
карман,pocket
девочка,girl
камень,stone
проблема,problem
связь,tie
гость,visitor
зуб,tooth
мера,measure
век,century
номер,number
средство,means
действие,action
ход,motion
государство,State
глава,head
партия,party
край,border
река,river
судьба,fate
рота,company
речь,speech
причина,cause
гора,mountain
страх,fear
море,sea
зал,hall
врач,physician
командир,commander
боль,pain
господин,gentleman
вчера,yesterday
вещь,thing
результат,result
число,number
цель,aim
положение,position
писатель,writer
бумага,paper
план,plan
черта,line
завтра,tomorrow
документ,document
волос,hair
пара,pair
след,track
решение,decision
класс,class
условие,condition
центр,centre
встреча,meeting
директор,director
рубль,rouble
служба,service
процесс,process
президент,president
память,memory
герой,hero
дух,spirit
враг,enemy
счастье,happiness
удар,blow
