language,area
Eastern Arrernte,Australia
Adang,Papua
Port Sandwich,Papua
Kashaya,North America
Saliba (Austronesian),Papua
Oy,Eurasia
Saho,Africa
Embera-Catio,South America
Bafia,Africa
Lakota,North America
Malayo,South America
South Levantine Arabic,Eurasia
Kurukh,Eurasia
Mussau-Emira,Papua
Tigre,Africa
Ladino,Eurasia
Maricopa,North America
Mina (Cameroon),Africa
Kotiria,South America
Doutai,Papua
Luchazi,Africa
Alune,Papua
Mbere,Africa
Tenino,North America
Kabardian,Eurasia
Degexit'an,North America
Chukchi,Eurasia
Amanab,Papua
Bilin,Africa
Mohave,North America
Bislama,Papua
Yakkha,Eurasia
Texmelucan Zapotec,North America
Paite Chin,Eurasia
We Southern,Africa
Makasae-Makalero,Papua
Tundra Nenets,Eurasia
Central Siberian Yupik,Eurasia
Hawu,Papua
Kriol,Australia
Eastern Low German,Eurasia
Kaluli,Papua
Arop-Lokep,Papua
Matukar,Papua
Southern Toussian,Africa
Hinuq,Eurasia
Rendille,Africa
Rongpo,Eurasia
Kinnauri,Eurasia
Tobati,Papua
Ocaina,South America
Macaguan,South America
Acoli,Africa
Rabha,Eurasia
Karachay-Balkar,Eurasia
Lyele,Africa
Lotha Naga,Eurasia
Central Sama,Papua
Ese Ejja,South America
Kalam,Papua
Tuki,Africa
Naasioi,Papua
Rade,Eurasia
Mapoyo,South America
Bunak,Papua
Xavante,South America
Pohnpeian,Papua
Zarma-Kaado,Africa
Dumi,Eurasia
Mandjak,Africa
Hixkaryana,South America
Gbaya-Bossangoa,Africa
Laha (Viet Nam),Eurasia
Takestani,Eurasia
Yapese,Papua
North-Central Talysh,Eurasia
Tzotzil,North America
Ejagham,Africa
Plains Cree,North America
Bats,Eurasia
Forest Enets,Eurasia
North Efate,Papua
Humburi Senni Songhay,Africa
Baiso,Africa
Kanite,Papua
Bu-Nao Bunu,Eurasia
Ganda,Africa
Neve'ei,Papua
Michif,North America
Continental Southern Italian,Eurasia
Aralle-Tabulahan,Papua
Edolo,Papua
Alngith,Australia
Ngelima,Africa
South Bolivian Quechua,South America
Wersing,Papua
Coastal Konjo,Papua
Tariana,South America
Gagadu,Australia
Afade,Africa
Shoshoni,North America
Ingrian,Eurasia
Samoan,Papua
North-Central Ju,Africa
Tegali,Africa
Vasavi,Eurasia
Wayuu,South America
Gaam,Africa
Deori,Eurasia
Tainae,Papua
Western Highland Chatino,North America
Brao,Eurasia
Hopi,North America
Ngbaka Ma'bo,Africa
Montagnais,North America
Powhatan,North America
Sengele,Africa
Melpa,Papua
Sandawe,Africa
Siar-Lak,Papua
Yaoure,Africa
Southern Yamphu,Eurasia
Lau,Papua
Khana,Africa
A-Pucikwar,Eurasia
Cogui,South America
Upper Taromi,Eurasia
Bulu (Cameroon),Africa
Kannada,Eurasia
South Slavey,North America
Romansh,Eurasia
Shona,Africa
Monumbo,Papua
Tuvinian,Eurasia
Lakota Dida,Africa
Lendu,Africa
Murik (Papua New Guinea),Papua
Chaudangsi,Eurasia
Atatlahuca Mixtec,North America
Iu Mien,Eurasia
Dyirbal,Australia
Copala Triqui,North America
Copainala Zoque,North America
Imonda,Papua
Nyoro,Africa
Duruwa,Eurasia
Boruca,North America
Michoacan Nahuatl,North America
Yinggarda,Australia
Wandarang,Australia
Mba,Africa
Botlikh,Eurasia
Nugunu (Cameroon),Africa
Camling,Eurasia
Western Parbate Kham,Eurasia
Mbugu,Africa
Makaa,Africa
Lobi,Africa
Central Moroccan Berber,Africa
Waura,South America
Occitan,Eurasia
Weme Gbe,Africa
Nyambo,Africa
Cashibo-Cacataibo,South America
Mezquital Otomi,North America
Southern Puget Sound Salish,North America
Sika,Papua
Tzotzil,North America
Vlax Romani,Eurasia
Russian,Eurasia
Badaga,Eurasia
Ngandi,Australia
Sie,Papua
Bari (Chibchan),South America
Mualang,Papua
Ekari,Papua
Moloko,Africa
Southern Nambikuara,South America
